,title,artist,released_year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,decease_date
1649,Doris Day,Doe Maar,1982,1650,783,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1650,De Doodgewoonste Dingen,Passepartout,1977,1651,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1651,Don't Leave Me This Way ,Thelma Houston ,1977,1652,1596,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1652,If I Stay Too Long,Big Wheel,1969,1653,99999,99999,1889,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1653,Nothing's Gonna Change My Love For You,Glenn Medeiros,1988,1654,1622,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1654,Longer,Dan Fogelberg,1980,1655,99999,1082,1418,1864,1892,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1655,No Dogs Allowed,Jose Feliciano,1970,1656,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1656,If You Go,Barry & Eileen,1975,1657,1557,1602,1684,1898,1714,1751,99999,1828,1934,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1657,Mexico,Les Humphries Singers,1972,1658,1338,1169,1165,1103,1332,1313,1766,1717,1488,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1658,Never Can Say Goodbye,Gloria Gaynor,1975,1659,1896,99999,1958,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1659,I'll Be There For You,Solid Harmonie,1997,1660,1774,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1660,I'm Specialized In You,Time Bandits,1983,1661,1610,1643,1791,1790,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1661,La Poupee Qui Fait Non,Michel Polnareff,1966,1662,1179,1942,1884,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1662,Love Is In The Air,John Paul Young,1977,1663,1848,1935,1950,99999,1966,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1663,Pittsburg In The Rain,Leon de Graaff,1971,1664,99999,1819,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1664,Take It Or Leave It,The Searchers,1966,1665,1528,1751,1735,1514,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1665,The Windmills Of Your Mind,Jose Feliciano,1969,1666,99999,99999,1786,99999,1682,1647,1482,99999,1946,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1666,Thought You Were On My Side,Cock Robin,1986,1667,99999,99999,99999,99999,1794,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1667,Rich Girl,Hall & Oates,1977,1668,99999,99999,444,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1668,With A Girl Like You,The Troggs,1966,1669,1809,1658,1943,1849,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1669,Simple Song Of Freedom,Tim Hardin,1970,1670,99999,1635,99999,99999,99999,1934,99999,1951,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1670,Something,Shirley Bassey,1970,1671,99999,99999,99999,1917,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1671,Take The A train,Duke Ellington,1941,1672,99999,1679,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1672,They Shoot Horses Don't They,Racing Cars,1977,1673,99999,1902,1946,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1673,This Wheel's On Fire,Julie Driscoll & The Brian Auger Trinity,1968,1674,1697,1910,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1674,Tom Dooley,Kingston Trio ,1959,1675,99999,1945,1721,1719,1909,1634,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1675,Try A Little Love,Oscar Harris,1970,1676,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1676,What The World Needs Now,Dionne Warwick,1967,1677,1751,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1677,World Of Birds,Q65,1967,1678,99999,99999,1437,1471,99999,1866,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1678,Play It Cool,Freiheit,1988,1679,1626,1521,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1679,Surrender,Jon Anderson,1982,1680,1353,1733,1542,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1680,Sussudio,Phil Collins,1985,1681,99999,1349,1645,1640,1807,1644,1820,99999,1904,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1681,Dance On Little Girl,Paul Anka,1961,1682,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1682,Goodbye My Love,Searchers,1965,1683,1711,99999,1625,1890,1941,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1683,Cocaine In My Brain,Dillinger,1977,1684,99999,1530,1925,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1684,City Of New Orleans,Arlo Guthrie,1972,1685,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1685,Egyptian Reggae,Jonathan Richman & The Modern Lovers,1977,1686,1432,1927,99999,99999,1972,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1686,Callow-La-Vita,Raymond Frogatt,1968,1687,1759,1798,1745,1942,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1687,Car Wash,Rose Royce,1977,1688,1590,1983,1823,99999,1862,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1688,Chirpy Chirpy Cheep Cheep,Middle Of The Road,1971,1689,1820,99999,1740,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1689,Come Back My Love,Darts,1978,1690,1368,1528,1928,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1690,Baretta's Theme,Sammy Davis Jr.,1976,1691,1703,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1990
1691,Bluesette,Toots Thielemans,1978,1692,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1692,Feelin' Alright ,Joe Cocker,1972,1693,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1693,Groovin',Young Rascals,1967,1694,1665,1720,1997,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1694,Long Tall Sally,Little Richard,1956,1695,1386,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1695,Mr. Bojangles,Sammy Davis Jr.,1972,1696,99999,99999,99999,99999,1209,1235,1107,1428,1483,1093,1007,728,972,978,1016,1217,1337,1284,1472,99999,1990
1696,Ik Zie Een Ster,Mouth & MacNeal,1974,1697,1779,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1697,"Love Me, Please Love Me",Michel Polnareff,1966,1698,1508,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1698,La Bamba,Trini Lopez,1963,1699,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1699,Dear Mrs. Applebee,David Garrick,1966,1700,1718,1810,1905,1835,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1700,I'm So Glad To Be A Woman,Love Unlimited,1981,1701,1776,1627,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1701,It's A Heartache,Bonnie Tyler,1978,1702,99999,1537,1980,1963,1715,1842,99999,1837,1960,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1702,Je Wordt Ouder Papa,Peter Koelewijn,1977,1703,1561,1889,1840,1995,1900,1541,1629,1820,1704,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1703,Last Night A DJ Saved My Life,Indeep,1983,1704,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1704,Looking For Clues,Robert Palmer,1981,1705,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1705,Love Story (You And Me),Randy Newman,1968,1706,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1706,Moviestar,Harpo,1975,1707,1182,1457,1876,1737,1867,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1707,If You Hold My Hand,Donna Hightower,1973,1708,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1708,My Sharona,The Knack,1979,1709,99999,1744,1700,1509,1918,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1709,Puppet On A String,Sandie Shaw,1967,1710,1975,99999,99999,99999,99999,556,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1710,Under The Boardwalk,The Drifters,1964,1711,1641,1884,99999,1786,1736,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1711,On My Own,Patti Labelle & Michael McDonald,1986,1712,1453,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1712,This Guy's In Love With You,Herb Alpert,1968,1713,1913,99999,341,99999,1948,1763,1863,99999,1937,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1713,When You're In Love With A Beautiful Woman,Dr. Hook,1979,1714,99999,1524,1412,1298,1792,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1714,Yesterday Man,Chris Andrews,1965,1715,99999,1848,1870,1632,1775,1948,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1715,No More Boleros,Gerard Joling,1989,1716,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1716,Out Of Time,Chris Farlowe,1966,1717,1733,99999,1991,1897,1883,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1717,Shame Shame Shame,Shirley & Company,1975,1718,1740,1979,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1718,Something In The Air,Thunderclap Newman,1969,1719,1633,1833,1909,99999,1823,1723,1835,1813,1806,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1719,Walking On The Chinese Wall,Philip Bailey,1985,1720,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1720,Put A Little Love In Your Heart,Annie Lennox & Al Green,1988,1721,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1721,Borriquito,Peret,1971,1722,1922,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1722,Do You Love Me,Sharif Dean,1973,1723,1594,1711,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1723,Feel The Need In Me  ,Detroit Emeralds ,1973,1724,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1724,A Hole In My Shoe,Traffic,1967,1725,1087,1434,1446,1922,1628,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1725,A Far L'amore Commincia Tu,Raffaela Carra,1977,1726,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1726,Baby Come Back,Equals,1968,1727,1756,1949,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1727,Coward Of The County,Kenny Rogers,1980,1728,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1728,Dancing On The Ceiling,Lionel Richie,1986,1729,1314,1777,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1729,Don't You Write Her Off,"McGuinn, Clark & Hillman",1979,1730,99999,1695,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1730,Ginny Come Lately,Brian Hyland,1962,1731,99999,1856,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1731,Tired Of Waiting For You,Kinks,1965,1732,1640,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1732,Sunny Girl,Hep Stars,1968,1733,1635,1681,1888,1955,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1733,Melting Pot,Blue Mink,1970,1734,99999,1327,1525,1661,99999,1694,99999,1968,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1734,Rosetta,Georgie Fame & Alan Price,1971,1735,99999,1924,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1735,How Do You Do,Mouth & MacNeal,1971,1736,1887,1841,99999,99999,1845,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1736,Smoke Gets In Your Eyes,Blue Haze,1972,1737,1903,99999,99999,1998,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1737,Leonie,Arjan Brass,1976,1738,99999,1511,1813,1921,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1738,Listen To What The Man Said,Paul McCartney & Wings,1975,1739,99999,1553,1830,1992,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1739,Lay Your Love On Me,Racey,1979,1740,1448,1395,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1740,I'm In The Mood For Dancing,Nolan sisters,1980,1741,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1741,Reggae Night,Jimmy Cliff,1983,1742,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1742,My Prerogative,Bobby Brown,1989,1743,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1743,Roses Are Red,Bobby Vinton,1962,1744,1876,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1744,Yellow River,Christie,1970,1745,99999,99999,99999,1582,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1745,Paleis Met Gouden Muren,Conny Vandenbos,1966,1746,99999,99999,99999,99999,99999,465,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1746,Shining Star,"Earth, Wind & Fire",1975,1747,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1747,Send In The Clowns,Judy Collins,1975,1748,99999,1871,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1748,Sunshine Reggae,Laid Back,1983,1749,1800,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1749,Rio,Maywood,1981,1750,1738,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1750,A Guy Is A Guy,Doris Day,1952,1751,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1751,Seasons In The Sun,Terry Jacks,1974,1752,1794,99999,99999,1690,99999,1854,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1752,Tonight I Celebrate My Love,Peabo Bryson & Roberta Flack,1983,1753,1952,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1753,I Won't Let The Sun Go Down On Me,Nik Kershaw,1984,1754,1717,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1754,Late At Night,Maywood,1980,1755,1616,1804,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1755,Backstabbers,O'Jays,1972,1756,1817,1559,1931,1654,99999,1642,99999,99999,99999,99999,99999,99999,1577,1875,1929,99999,99999,99999,99999,99999,99999
1756,Break My Stride,Matthew Wilder,1984,1757,99999,99999,1026,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1757,China Grove,Doobie Brothers,1973,1758,1548,1668,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1758,Deep Water,Grapefruit,1969,1759,1765,99999,99999,1919,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1759,Forever And Ever,Slik,1976,1760,99999,99999,1877,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1760,Little Girl,Syndicate of Sound,1966,1761,1335,99999,1571,99999,1668,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1761,Axel F,Harold Faltermeyer,1985,1762,1816,1939,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1762,Bad Bad Leroy Brown,Jim Croce,1973,1763,1702,99999,673,1859,1963,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1763,Dag Zuster Ursula,Rob de Nijs,1973,1764,1763,1424,1809,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1764,Do You Love Me,Contours,1963,1765,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1765,Fire,Arthur Brown,1968,1766,1664,1911,99999,99999,99999,99999,99999,99999,99999,99999,1985,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1766,Hurts To Be In Love,Gino Vannelli,1985,1767,99999,1726,1559,695,99999,1397,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1767,Here It Comes Again,Fortunes,1965,1768,1715,99999,1982,1770,1773,99999,1700,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1768,I'd Like To Teach The World To Sing,The New Seekers,1972,1769,1888,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1769,I've Seen That Face Before,Grace Jones,1981,1770,99999,99999,1475,99999,99999,99999,99999,99999,99999,1991,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1770,Knock On Wood,Eddie Floyd,1966,1771,1970,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1771,My Little Town,Simon & Garfunkel,1975,1772,1078,1491,1520,1538,1725,1678,1670,1800,1653,1800,1668,1936,99999,99999,99999,99999,99999,99999,99999,99999,99999
1772,"Mien, Waar Is M'n Feestneus",Toon Hermans,1968,1773,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1773,Whole Lotta Shakin Going On,Jerry Lee Lewis,1957,1774,99999,99999,99999,1982,1826,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1774,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1970,1775,99999,1895,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1775,Me And You And A Dog Named Boo,Lobo,1971,1776,1568,1566,1599,1623,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1776,The Birds And The Bees,Jewel Akens,1965,1777,1910,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1777,The Morning After,Maureen McGovern,1973,1778,1804,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1778,This Is My Song,Petula Clark,1967,1779,99999,1938,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1779,Paroles,Dalida,1973,1780,99999,1391,1752,1954,1338,1588,1500,1702,1593,1514,1752,1982,1942,99999,99999,99999,99999,99999,99999,99999,99999
1780,Sophietje,Johnny Lion,1965,1781,1742,1937,99999,1547,1305,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1781,San Franciscan Nights,Animals & Eric Burdon,1967,1782,1470,877,1002,1328,1099,1216,1440,1268,1250,99999,1742,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1782,Rhinestone Cowboy,Glen Campbell,1975,1783,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1783,The Other Side Of The Sun,Janis Ian,1980,1784,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1784,There's A Kind Of Hush,Herman's Hermits,1967,1785,1950,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1785,To My Father's House,Les Humphries Singers,1970,1786,1476,822,1210,698,1187,1209,1390,1766,1257,1713,1987,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1786,Maria Elena,Los Indios Tabajaras,1964,1787,1893,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1787,Matador,Garland Jeffreys,1980,1788,99999,1669,99999,1969,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1788,Why Did You Do It,Stretch,1976,1789,1409,1824,1954,1777,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1789,Abergavenny,Marty Wilde,1968,1790,1814,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1790,At The Hop,Danny & the Juniors,1957,1791,1918,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1791,Cheek To Cheek,Lowell George,1979,1792,99999,1756,1802,1961,1831,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1792,Give Me Love,George Harrison,1973,1793,99999,1522,99999,99999,1694,1755,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,2001
1793,Hymn To Her,The Pretenders,1987,1794,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1794,Even The Bad Times Are Good,Tremeloes,1967,1795,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1795,Fine Brown Frame,Lou Rawls & Diana Reeves,1989,1796,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1796,Free The People,Delaney & Bonnie & Friends,1970,1797,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1797,Heartache Avenue,Maisonettes,1983,1798,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1798,Everybody Knows,Dave Clark Five,1967,1799,1931,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1799,Hang On In There Baby,Johnny Bristol,1974,1800,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1800,Hit The Road Jack,Stampeders,1976,1801,1834,1901,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1801,It Don't Come Easy,Ringo Starr,1971,1802,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1802,Last Train To Clarksville,Monkees,1966,1803,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
1803,Ruby Is The One,Earth & Fire,1970,1804,99999,99999,99999,1903,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
